Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
77000,-1.433352,-9.181588,3.079673, 
77005,-1.426173,-9.191160,3.031815, 
77010,-1.335243,-9.241411,3.041386, 
77015,-1.335243,-9.236626,3.017457, 
77020,-1.332850,-9.253376,3.034207, 
77025,-1.275420,-9.231839,3.055744, 
77030,-1.277813,-9.236626,3.062922, 
77035,-1.296956,-9.294055,3.067708, 
77040,-1.246705,-9.341913,3.105995, 
77045,-1.292170,-9.368236,3.065315, 
77050,-1.217990,-9.341913,3.043779, 
77055,-1.201240,-9.394557,3.046172, 
77060,-1.143810,-9.432844,3.079673, 
77065,-1.203633,-9.514202,3.101209, 
77070,-1.165346,-9.542917,3.117959, 
77075,-1.131845,-9.478309,3.103602, 
77079,-1.119881,-9.454380,3.084459, 
77083,-1.117488,-9.499846,3.086851, 
77088,-1.081594,-9.530953,3.103602, 
77093,-1.081594,-9.550097,3.117959, 
77098,-1.098345,-9.523774,3.079673, 
77103,-1.052880,-9.554882,3.036600, 
77108,-1.031343,-9.480701,3.053351, 
77113,-1.000236,-9.533346,3.048565, 
77118,-1.009807,-9.535739,3.105995, 
77123,-0.947592,-9.576418,3.105995, 
77128,-0.928448,-9.542917,3.149067, 
77133,-0.914091,-9.518989,3.077280, 
77138,-0.947592,-9.547704,3.127531, 
77143,-0.918877,-9.518989,3.046172, 
77148,-0.928448,-9.497452,3.048565, 
77153,-0.892555,-9.478309,3.053351, 
77158,-0.854268,-9.521381,3.072494, 
77163,-0.923663,-9.528560,3.058136, 
77167,-0.861447,-9.499846,3.086851, 
77171,-0.875804,-9.499846,3.062922, 
77175,-0.851875,-9.444808,3.007885, 
77180,-0.851875,-9.451987,3.015064, 
77185,-0.804017,-9.485488,3.062922, 
77190,-0.801624,-9.547704,3.053351, 
77195,-0.854268,-9.550097,3.031815, 
77200,-0.732230,-9.535739,3.022243, 
77205,-0.775302,-9.552489,3.058136, 
77210,-0.799231,-9.583597,3.127531, 
77215,-0.741802,-9.550097,3.105995, 
77219,-0.765731,-9.624276,3.127531, 
77224,-0.765731,-9.619491,3.158639, 
77229,-0.710694,-9.648206,3.199318, 
77234,-0.701122,-9.609919,3.070101, 
77239,-0.660443,-9.605133,3.153853, 
77244,-0.672407,-9.648206,3.129924, 
77249,-0.643692,-9.648206,3.101209, 
77254,-0.607799,-9.631455,3.084459, 
77259,-0.588655,-9.631455,3.062922, 
